text_id	lexile_band	lexile_score	age_group	grade_hint	genre	topic	word_count	length_type	text_body	sentence_count	avg_sentence_length	vocabulary_band	intended_use	created_date	notes
L1100-NAR-350-001	1100-1300	1250	Pre-CSAT	고3	Narrative		350	Long		=	=	B2/C1	시험대비
L1100-EXP-100-001	1100-1300	1160	Pre-CSAT	고2	Expository		100	Short		=	=	B2	수업
L1100-EXP-200-001	1100-1300	1210	Pre-CSAT	고2	Expository		200	Medium		=	=	B2	수업
L1100-EXP-350-001	1100-1300	1260	Pre-CSAT	고3	Expository		350	Long		=	=	B2/C1	시험대비
L1100-INF-100-001	1100-1300	1170	Pre-CSAT	고2	Informational		100	Short		=	=	B2	수업
L1100-INF-200-001	1100-1300	1220	Pre-CSAT	고3	Informational		200	Medium		=	=	B2/C1	수업
L1100-INF-350-001	1100-1300	1270	Pre-CSAT	고3	Informational		350	Long		=	=	B2/C1	시험대비
L1100-ARG-100-001	1100-1300	1180	Pre-CSAT	고2	Argumentative		100	Short		=	=	B2	수업
L1100-ARG-200-001	1100-1300	1230	Pre-CSAT	고3	Argumentative		200	Medium		=	=	B2/C1	수업
L1100-ARG-350-001	1100-1300	1280	Pre-CSAT	고3	Argumentative		350	Long		=	=	B2/C1	시험대비
L1100-PRO-100-001	1100-1300	1150	Pre-CSAT	고2	Procedural		100	Short		=	=	B2	수업
L1100-LIT-100-001	1100-1300	1170	Pre-CSAT	고2	Literary		100	Short		=	=	B2	수업
L1100-LIT-200-001	1100-1300	1220	Pre-CSAT	고3	Literary		200	Medium		=	=	B2/C1	다독
L1100-LIT-350-001	1100-1300	1270	Pre-CSAT	고3	Literary		350	Long		=	=	B2/C1	시험대비
L1300-EXP-200-001	1300-1500	1350	Academic	대학1	Expository		200	Medium		=	=	C1	수업
L1300-EXP-350-001	1300-1500	1400	Academic	대학1	Expository		350	Long		=	=	C1	과제
L1300-INF-200-001	1300-1500	1360	Academic	대학1	Informational		200	Medium		=	=	C1	수업
L1300-INF-350-001	1300-1500	1420	Academic	대학1	Informational		350	Long		=	=	C1	과제
L1300-ARG-200-001	1300-1500	1380	Academic	대학1	Argumentative		200	Medium		=	=	C1	수업
L1300-ARG-350-001	1300-1500	1440	Academic	대학1	Argumentative		350	Long		=	=	C1	과제
L1300-LIT-200-001	1300-1500	1370	Academic	대학1	Literary		200	Medium		=	=	B2/C1	다독
L1300-LIT-350-001	1300-1500	1430	Academic	대학1	Literary		350	Long		=	=	C1	과제
